doi,task,taskLabel,score,rank
10.1109/MetroXRAINE58569.2023.10405548,http://h-da.de/ml-ontology/binary_classification,binary classification,0.38171643018722534,4
10.1109/MetroXRAINE58569.2023.10405548,http://h-da.de/ml-ontology/image_classification,image classification,0.3686118423938751,5
10.1109/MetroXRAINE58569.2023.10405793,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.5054145455360413,1
10.1109/MetroXRAINE58569.2023.10405793,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41636162996292114,2
10.1109/MetroXRAINE58569.2023.10405793,http://h-da.de/ml-ontology/binary_classification,binary classification,0.403847873210907,3
10.1109/MetroXRAINE58569.2023.10405793,http://h-da.de/ml-ontology/audio_regression,audio regression,0.36957329511642456,4
10.1109/MetroXRAINE58569.2023.10405793,http://h-da.de/ml-ontology/audio_classification,audio classification,0.36749663949012756,5
10.1109/MetroXRAINE62247.2024.10796343,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.4613523483276367,1
10.1109/MetroXRAINE62247.2024.10796343,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41576412320137024,2
10.1109/MetroXRAINE62247.2024.10796343,http://h-da.de/ml-ontology/binary_classification,binary classification,0.40214380621910095,3
10.1109/MetroXRAINE62247.2024.10796343,http://h-da.de/ml-ontology/image_classification,image classification,0.37744659185409546,4
10.1109/MoSICom59118.2023.10458752,http://h-da.de/ml-ontology/binary_classification,binary classification,0.46214115619659424,1
10.1109/MoSICom59118.2023.10458752,http://h-da.de/ml-ontology/image_classification,image classification,0.4307387173175812,2
10.1109/MoSICom59118.2023.10458752,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37267354130744934,3
10.1109/MoSICom59118.2023.10458752,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.36024022102355957,4
10.1109/MoSICom63082.2024.10881378,http://h-da.de/ml-ontology/regression,regression,0.43945202231407166,1
10.1109/MoSICom63082.2024.10881378,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3989242911338806,2
10.1109/MoSICom63082.2024.10881378,http://h-da.de/ml-ontology/tabular_regression,tabular regression,0.38808584213256836,3
10.1109/MoSICom63082.2024.10881378,http://h-da.de/ml-ontology/audio_regression,audio regression,0.37122172117233276,4
10.1109/MoSICom63082.2024.10881378,http://h-da.de/ml-ontology/image_regression,image regression,0.3660479485988617,5
10.1109/NAECON46414.2019.9058251,http://h-da.de/ml-ontology/image_classification,image classification,0.4134347438812256,1
10.1109/NAECON61878.2024.10670660,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.47654014825820923,1
10.1109/NAECON61878.2024.10670660,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35366499423980713,2
10.1109/NBEC58134.2023.10352591,http://h-da.de/ml-ontology/image_classification,image classification,0.3594862222671509,1
10.1109/NBEC58134.2023.10352591,http://h-da.de/ml-ontology/binary_classification,binary classification,0.357950896024704,2
10.1109/NBEC58134.2023.10352591,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.351042240858078,3
10.1109/NBEC58134.2023.10352622,http://h-da.de/ml-ontology/binary_classification,binary classification,0.5090155005455017,1
