query_id,query,n_returned,refs_attempted,retrieved_at,fetch_refs,total_records_in_jsonl,total_references_counted,folder
ml_product_development,"TITLE-ABS-KEY(""machine learning"" AND ""product development"")",915,915,2025-11-03T14:05:38Z,True,915,18321,../data/raw-refs/ml_product_development
ml_planning_production,"TITLE-ABS-KEY(""machine learning"" AND planning AND production)",2295,2295,2025-11-03T14:50:01Z,True,2295,26369,../data/raw-refs/ml_planning_production
